KBudget,Strategy,SeedIndex,SynthesisSeed,Classification,SynthesisSuccess,Gamma,SDPRounds,MaxViolationStage1,MaxViolationFinal,VSur,VCert,OutputLMISignedViolation,IncrementLMISignedViolation,NViolated,Polished,MonteCarloSuccessPct,RMSE95
8,Random+ICE,4,4082,failed,False,4.37722003279052,4,0.00039217201926888834,0.00039217201926888834,0.00039217201926888834,0.00039217201926888834,-1.5618157202142795e-05,-0.0010998853047999176,64,False,0.0,9999.9
8,TopK+ICE,0,82,failed,False,3.8488165150273583,4,0.0019187005338591049,0.0019187005338591049,0.0019187005338591049,0.0019187005338591049,-4.21872594085617e-05,-0.0009991049991077774,96,False,0.0,9999.9
8,TopK+ICE,1,1082,failed,False,3.8488165150273583,4,0.0019187005338591049,0.0019187005338591049,0.0019187005338591049,0.0019187005338591049,-4.21872594085617e-05,-0.0009991049991077774,96,False,0.0,9999.9
8,TopK+ICE,2,2082,failed,False,3.8488165150273583,4,0.0019187005338591049,0.0019187005338591049,0.0019187005338591049,0.0019187005338591049,-4.21872594085617e-05,-0.0009991049991077774,96,False,0.0,9999.9
8,TopK+ICE,3,3082,failed,False,3.8488165150273583,4,0.0019187005338591049,0.0019187005338591049,0.0019187005338591049,0.0019187005338591049,-4.21872594085617e-05,-0.0009991049991077774,96,False,0.0,9999.9
8,TopK+ICE,4,4082,failed,False,3.8488165150273583,4,0.0019187005338591049,0.0019187005338591049,0.0019187005338591049,0.0019187005338591049,-4.21872594085617e-05,-0.0009991049991077774,96,False,0.0,9999.9
8,FPS-Param+ICE,0,82,failed,False,4.373423210815959,4,0.0004138291218561039,0.0004138291218561039,0.0004138291218561039,0.0004138291218561039,-3.5633691349535755e-05,-0.001096942470640159,80,False,0.0,9999.9
8,FPS-Param+ICE,1,1082,failed,False,4.364323974260572,4,0.0004101346194113877,0.0004101346194113877,0.0004101346194113877,0.0004101346194113877,-0.00019027294957000825,-0.001103450591297928,79,False,0.0,9999.9
8,FPS-Param+ICE,2,2082,surrogate_pass,True,4.360938512670968,3,3.6901437661800035e-05,3.6901437661800035e-05,3.6901437661800035e-05,3.6901437661800035e-05,-6.117488863283013e-05,-0.0011100955904583998,0,False,87.4,0.35687685802937485
8,FPS-Param+ICE,3,3082,failed,False,3.8451160504214292,4,0.0019204735946592444,0.0019204735946592444,0.0019204735946592444,0.0019204735946592444,-4.770903965011198e-05,-0.0010022109930237165,112,False,0.0,9999.9
8,FPS-Param+ICE,4,4082,failed,False,4.141346237566153,4,0.0006053444174547733,0.0006053444174547733,0.0006053444174547733,0.0006053444174547733,-1.3466493690894907e-05,-0.0010814823736999893,32,False,0.0,9999.9
8,FPS-Delta+ICE,0,82,failed,False,4.368632728667325,4,0.0003988389548092031,0.0003988389548092031,0.0003988389548092031,0.0003988389548092031,-4.8296048204512627e-05,-0.0010998320193531138,104,False,0.0,9999.9
8,FPS-Delta+ICE,1,1082,surrogate_pass,True,4.363211618819346,3,3.653641344644109e-05,3.653641344644109e-05,3.653641344644109e-05,3.653641344644109e-05,-0.00011661593914339206,-0.0011094942181780088,0,False,90.8,0.3621299702000246
8,FPS-Delta+ICE,2,2082,surrogate_pass,True,4.40228778238782,4,6.81980248256524e-05,6.81980248256524e-05,6.81980248256524e-05,6.81980248256524e-05,-4.774412462749392e-05,-0.001069453440462876,0,False,88.6,0.36014454466139906
8,FPS-Delta+ICE,3,3082,failed,False,4.145764911927495,4,0.0006076708386202653,0.0006076708386202653,0.0006076708386202653,0.0006076708386202653,-8.049678011139598e-06,-0.0010803484590867882,32,False,0.0,9999.9
8,FPS-Delta+ICE,4,4082,surrogate_pass,True,4.35815159796828,4,3.7084086177605646e-05,3.7084086177605646e-05,3.7084086177605646e-05,3.7084086177605646e-05,-0.00022654329394639953,-0.0011118867478552266,0,False,84.2,0.3562568273467984
12,SFPS+ICE,0,110,surrogate_pass,True,4.360803268693332,2,3.672746043238033e-05,3.672746043238033e-05,3.672746043238033e-05,3.672746043238033e-05,-0.00019128802983960482,-0.0011099046120140942,0,False,82.8,0.35591005135891696
12,SFPS+ICE,1,1110,surrogate_pass,True,4.41300668925934,2,5.826990089418674e-06,5.826990089418674e-06,5.826990089418674e-06,5.826990089418674e-06,-6.843587578881575e-06,-0.0010875150435299258,0,False,92.2,0.3600373097490811
12,SFPS+ICE,2,2110,surrogate_pass,True,4.3591015940601565,2,3.688558006161259e-05,3.688558006161259e-05,3.688558006161259e-05,3.688558006161259e-05,-0.00022995945610184966,-0.0011123039681794767,0,False,83.6,0.35698718193512335
12,SFPS+ICE,3,3110,surrogate_pass,True,4.390410394343126,2,2.803963859630802e-05,2.803963859630802e-05,2.803963859630802e-05,2.803963859630802e-05,-5.3414135256710685e-05,-0.0010828449249476832,0,False,90.60000000000001,0.36100062419441925
12,SFPS+ICE,4,4110,surrogate_pass,True,4.371292673250357,2,3.503605585689922e-05,3.503605585689922e-05,3.503605585689922e-05,3.503605585689922e-05,-0.00013174058999270986,-0.0011036901043885348,0,False,91.4,0.36103657705699815
12,SFPS-init,0,110,failed,False,4.375613613116827,1,0.01328756319405058,0.01328756319405058,0.01328756319405058,0.01328756319405058,-5.702125213310775e-05,-0.0011012039515898358,64,False,0.0,9999.9
12,SFPS-init,1,1110,failed,False,4.360552628899352,1,0.03452085753728009,0.03452085753728009,0.03452085753728009,0.03452085753728009,-7.73978988516395e-05,-0.0011098958126293636,64,False,0.0,9999.9
12,SFPS-init,2,2110,failed,False,4.3606694651663815,1,0.030535718543708026,0.030535718543708026,0.030535718543708026,0.030535718543708026,-9.874013346119956e-05,-0.001110255317172352,64,False,0.0,9999.9
12,SFPS-init,3,3110,failed,False,4.364895110705292,1,0.032718610757735536,0.032718610757735536,0.032718610757735536,0.032718610757735536,-0.00019274887088603147,-0.0011078346013697483,64,False,0.0,9999.9
12,SFPS-init,4,4110,failed,False,4.365611657639189,1,0.039639854256406565,0.039639854256406565,0.039639854256406565,0.039639854256406565,-0.00020891303699661695,-0.0011077198330998435,64,False,0.0,9999.9
12,Random+ICE,0,110,failed,False,3.5939839165859406,4,0.0068380084210250755,0.0068380084210250755,0.0068380084210250755,0.0068380084210250755,-9.819922611140984e-06,-0.0015078776485125754,126,False,0.0,9999.9
12,Random+ICE,1,1110,surrogate_pass,True,4.391740209388737,3,2.859481824167259e-05,2.859481824167259e-05,2.859481824167259e-05,2.859481824167259e-05,-0.0002019173422102627,-0.00108265008505281,0,False,85.8,0.35773252416482787
12,Random+ICE,2,2110,failed,False,4.376862210480828,4,0.00010264878512133785,0.000674736735693636,0.000674736735693636,0.000674736735693636,-5.848624302494245e-06,-0.0010950954088578214,80,True,0.0,9999.9
12,Random+ICE,3,3110,failed,False,4.3846268257346885,4,0.0002632456049753295,0.0002632456049753295,0.0002632456049753295,0.0002632456049753295,-3.0079836350108392e-05,-0.0010856667209566044,96,False,0.0,9999.9
12,Random+ICE,4,4110,surrogate_pass,True,4.357309096973702,2,3.7216125366153694e-05,3.7216125366153694e-05,3.7216125366153694e-05,3.7216125366153694e-05,-2.195798814449936e-05,-0.0011119129343255952,0,False,88.4,0.3597830667434781
12,TopK+ICE,0,110,failed,False,3.8548220538476654,4,0.0019165172506827362,0.0019165172506827362,0.0019165172506827362,0.0019165172506827362,-1.0841083482902062e-05,-0.0009953362047916958,64,False,0.0,9999.9
12,TopK+ICE,1,1110,failed,False,3.8548220538476654,4,0.0019165172506827362,0.0019165172506827362,0.0019165172506827362,0.0019165172506827362,-1.0841083482902062e-05,-0.0009953362047916958,64,False,0.0,9999.9
12,TopK+ICE,2,2110,failed,False,3.8548220538476654,4,0.0019165172506827362,0.0019165172506827362,0.0019165172506827362,0.0019165172506827362,-1.0841083482902062e-05,-0.0009953362047916958,64,False,0.0,9999.9
