vertex_index,old_full_qmi_raw_score,archived_raw_score,new_dynamics_raw_score,dynamics_score_from_qmi_block,absolute_difference,relative_difference,old_processed_score,new_processed_score,old_anchor,new_anchor,old_tier,new_tier
70,12127.280640060058,12127.280640060058,12127.280640060035,12127.28064006006,2.3646862246096134e-11,1.9498899174464086e-15,0.6053295064727248,0.6053295064727247,False,False,1,1
71,12127.18439116929,12127.18439116929,12127.184391169261,12127.184391169292,2.9103830456733704e-11,2.3998835606001323e-15,0.605325621018842,0.6053256210188416,False,False,1,1
72,12789.157230777295,12789.157230777295,12789.157230777264,12789.15723077729,3.092281986027956e-11,2.417893478224143e-15,0.6311641846487801,0.6311641846487799,False,False,2,2
73,12789.055519807353,12789.055519807353,12789.055519807327,12789.055519807356,2.546585164964199e-11,1.9912222298355927e-15,0.6311603474670326,0.6311603474670326,False,False,2,2
74,12788.393585460515,12788.393585460515,12788.39358546049,12788.393585460513,2.546585164964199e-11,1.991325296602916e-15,0.6311353741372675,0.6311353741372676,False,False,2,2
75,12788.291925347654,12788.291925347654,12788.291925347634,12788.29192534766,2.000888343900442e-11,1.5646251708834426e-15,0.6311315385746008,0.631131538574601,False,False,2,2
76,12128.080125496563,12128.080125496563,12128.08012549654,12128.080125496568,2.1827872842550278e-11,1.7997797356782037e-15,0.6053617792757768,0.6053617792757767,False,False,1,1
77,12127.98381772063,12127.98381772063,12127.9838177206,12127.983817720631,2.9103830456733704e-11,2.3997253701978937e-15,0.6053578917626716,0.6053578917626712,False,False,1,1
78,12127.279674965279,12127.279674965279,12127.279674965263,12127.27967496528,1.6370904631912708e-11,1.3499238964289475e-15,0.6053294675131798,0.60532946751318,False,False,1,1
79,12127.183423608627,12127.183423608627,12127.183423608596,12127.183423608627,3.092281986027956e-11,2.549876486578118e-15,0.6053255819593681,0.6053255819593677,False,False,1,1
80,12789.151081634012,12789.151081634012,12789.151081633992,12789.151081634016,2.000888343900442e-11,1.5645200616746468e-15,0.6311639526652972,0.6311639526652976,False,False,2,2
81,12789.049369125003,12789.049369125003,12789.049369124978,12789.049369125007,2.546585164964199e-11,1.9912231874810806e-15,0.6311601154230726,0.6311601154230726,False,False,2,2
82,12788.38744634209,12788.38744634209,12788.387446342073,12788.387446342103,1.8189894035458565e-11,1.4223758946763446e-15,0.6311351425138929,0.6311351425138932,False,False,2,2
83,12788.285784692132,12788.285784692132,12788.285784692114,12788.285784692132,1.8189894035458565e-11,1.4223872019838875e-15,0.6311313068908239,0.6311313068908242,False,False,2,2
84,12128.067268444296,12128.067268444296,12128.067268444276,12128.067268444298,2.000888343900442e-11,1.6497998400013016e-15,0.6053612602964382,0.6053612602964381,False,False,1,1
85,12127.970957534344,12127.970957534344,12127.970957534324,12127.970957534346,2.000888343900442e-11,1.6498129414281094e-15,0.6053573726517134,0.6053573726517134,False,False,1,1
86,12127.266832532585,12127.266832532585,12127.266832532563,12127.266832532592,2.1827872842550278e-11,1.799900434613582e-15,0.6053289490815215,0.6053289490815215,False,False,1,1
87,12127.170578043777,12127.170578043777,12127.17057804374,12127.170578043773,3.637978807091713e-11,2.9998578676532084e-15,0.6053250633961635,0.6053250633961629,False,False,1,1
88,12789.15013667506,12789.15013667506,12789.150136675024,12789.15013667506,3.637978807091713e-11,2.8445821404967254e-15,0.6311639170156241,0.6311639170156238,False,False,2,2
89,12789.048421797546,12789.048421797546,12789.048421797524,12789.048421797546,2.1827872842550278e-11,1.7067628585522466e-15,0.6311600796836729,0.6311600796836732,False,False,2,2
90,12788.38650187762,12788.38650187762,12788.386501877598,12788.386501877623,2.1827872842550278e-11,1.706851199668188e-15,0.6311351068800914,0.6311351068800916,False,False,2,2
91,12788.284837859228,12788.284837859228,12788.284837859199,12788.284837859224,2.9103830456733704e-11,2.2758196916738146e-15,0.6311312711672921,0.631131271167292,False,False,2,2
92,12128.066302859443,12128.066302859443,12128.06630285942,12128.066302859446,2.1827872842550278e-11,1.799781786928713e-15,0.6053612213202457,0.6053612213202456,False,False,1,1
93,12127.96998948356,12127.96998948356,12127.96998948353,12127.96998948356,2.9103830456733704e-11,2.399728106350057e-15,0.6053573335755978,0.6053573335755975,False,False,1,1
94,12127.265867504833,12127.265867504833,12127.26586750481,12127.265867504837,2.3646862246096134e-11,1.9498922926608055e-15,0.6053289101246273,0.6053289101246273,False,False,1,1
95,12127.169610550156,12127.169610550156,12127.169610550134,12127.169610550158,2.1827872842550278e-11,1.7999148641873447e-15,0.6053250243393411,0.6053250243393409,False,False,1,1
96,12789.159334261483,12789.159334261483,12789.159334261461,12789.159334261483,2.1827872842550278e-11,1.7067480568542577e-15,0.6311642640051001,0.6311642640051003,False,False,2,2
97,12789.057623048415,12789.057623048415,12789.057623048398,12789.05762304842,1.6370904631912708e-11,1.2800712229499299e-15,0.631160426815006,0.6311604268150062,False,False,2,2
98,12788.395649528597,12788.395649528597,12788.395649528567,12788.395649528593,2.9103830456733704e-11,2.2757999716568454e-15,0.6311354520126531,0.631135452012653,False,False,2,2
99,12788.293989216016,12788.293989216016,12788.293989215988,12788.293989216018,2.7284841053187847e-11,2.1335794341447213e-15,0.6311316164432608,0.6311316164432608,False,False,2,2
100,12128.082444039477,12128.082444039477,12128.082444039454,12128.082444039483,2.3646862246096134e-11,1.9497610075793746e-15,0.6053618728644867,0.6053618728644865,False,False,1,1
101,12127.98613576141,12127.98613576141,12127.986135761383,12127.986135761415,2.7284841053187847e-11,2.2497421045637494e-15,0.6053579853320344,0.6053579853320341,False,False,1,1
102,12127.281947135241,12127.281947135241,12127.281947135209,12127.281947135241,3.2741809263825417e-11,2.6998472870138743e-15,0.6053295592375407,0.6053295592375403,False,False,1,1
103,12127.18569532599,12127.18569532599,12127.185695325963,12127.185695325996,2.7284841053187847e-11,2.249890596109521e-15,0.605325673666361,0.6053256736663608,False,False,1,1
104,12789.158389284632,12789.158389284632,12789.158389284614,12789.158389284636,1.8189894035458565e-11,1.4222901524699957e-15,0.6311642283547818,0.6311642283547821,False,False,2,2
105,12789.056675703034,12789.056675703034,12789.05667570301,12789.056675703032,2.3646862246096134e-11,1.84899190344672e-15,0.6311603910749604,0.6311603910749604,False,False,2,2
106,12788.39470504594,12788.39470504594,12788.394705045914,12788.394705045936,2.546585164964199e-11,1.9913251222683865e-15,0.6311354163781953,0.6311354163781953,False,False,2,2
107,12788.293042364858,12788.293042364858,12788.293042364843,12788.293042364861,1.4551915228366852e-11,1.1379091157951646e-15,0.6311315807190703,0.6311315807190707,False,False,2,2
