vertex_index,old_full_qmi_raw_score,archived_raw_score,new_dynamics_raw_score,dynamics_score_from_qmi_block,absolute_difference,relative_difference,old_processed_score,new_processed_score,old_anchor,new_anchor,old_tier,new_tier
29,3559.769308522471,3559.769308522471,3559.7693085224314,3559.7693085224732,3.956301952712238e-11,1.1113927925723796e-14,0.6147346390322578,0.6147346390322576,False,False,1,1
30,3559.6475393321716,3559.6475393321716,3559.64753933213,3559.647539332174,4.18367562815547e-11,1.1753061453214474e-14,0.6147205684429435,0.6147205684429431,False,False,1,1
31,3559.6538728436553,3559.6538728436553,3559.6538728436126,3559.6538728436544,4.274625098332763e-11,1.2008541422927583e-14,0.6147213003011539,0.6147213003011534,False,False,1,1
32,3687.8324053871565,3687.8324053871565,3687.8324053871183,3687.832405387158,3.8198777474462986e-11,1.0358056786599769e-14,0.6292516519709261,0.6292516519709261,False,False,2,2
33,3687.8409719073334,3687.8409719073334,3687.8409719072915,3687.8409719073334,4.18367562815547e-11,1.1344512032989572e-14,0.6292526045259761,0.6292526045259758,False,False,2,2
34,3687.7212411506616,3687.7212411506616,3687.721241150617,3687.72124115066,4.4565240386873484e-11,1.2084763861643732e-14,0.6292392908308215,0.6292392908308209,False,False,2,2
35,3687.729789707358,3687.729789707358,3687.7297897073163,3687.7297897073586,4.18367562815547e-11,1.1344854061250154e-14,0.6292402414201157,0.6292402414201153,False,False,2,2
36,3559.7726293644446,3559.7726293644446,3559.7726293644005,3559.7726293644455,4.411049303598702e-11,1.2391379346006834e-14,0.6147350227526961,0.6147350227526953,False,False,1,1
37,3559.7789797836126,3559.7789797836126,3559.77897978357,3559.7789797836117,4.274625098332763e-11,1.2008119387773347e-14,0.6147357565371134,0.6147357565371129,False,False,1,1
38,3559.657186542603,3559.657186542603,3559.6571865425603,3559.657186542603,4.274625098332763e-11,1.2008530244128897e-14,0.6147216832094788,0.6147216832094782,False,False,1,1
39,3559.663517927631,3559.663517927631,3559.663517927589,3559.6635179276336,4.18367562815547e-11,1.1753008696145323e-14,0.6147224148198535,0.614722414819853,False,False,1,1
40,3687.8319112830354,3687.8319112830354,3687.831911282994,3687.831911283033,4.1382008930668235e-11,1.1221229688928799e-14,0.6292515970288953,0.629251597028895,False,False,2,2
41,3687.840479263171,3687.840479263171,3687.840479263129,3687.840479263171,4.18367562815547e-11,1.1344513548458492e-14,0.6292525497464265,0.6292525497464262,False,False,2,2
42,3687.7207472155033,3687.7207472155033,3687.7207472154605,3687.7207472155037,4.274625098332763e-11,1.1591509746393934e-14,0.6292392359057475,0.6292392359057469,False,False,2,2
43,3687.7292972319174,3687.7292972319174,3687.7292972318783,3687.7292972319174,3.9108272176235914e-11,1.0604973690881095e-14,0.629240186657501,0.629240186657501,False,False,2,2
44,3559.772129963012,3559.772129963012,3559.772129962971,3559.772129963014,4.092726157978177e-11,1.1497157707172404e-14,0.614734965047314,0.6147349650473135,False,False,1,1
45,3559.7784818472314,3559.7784818472314,3559.7784818471882,3559.77848184723,4.320099833421409e-11,1.2135867036253428e-14,0.6147356990011261,0.6147356990011256,False,False,1,1
46,3559.6566873243737,3559.6566873243737,3559.656687324333,3559.6566873243746,4.092726157978177e-11,1.149753056959683e-14,0.6147216255232683,0.6147216255232679,False,False,1,1
47,3559.6630201741773,3559.6630201741773,3559.6630201741336,3559.663020174178,4.3655745685100555e-11,1.2264010789134878e-14,0.6147223573030116,0.6147223573030108,False,False,1,1
48,3687.828681207616,3687.828681207616,3687.828681207574,3687.8286812076176,4.18367562815547e-11,1.1344549841684848e-14,0.6292512378596542,0.6292512378596538,False,False,2,2
49,3687.83724966372,3687.83724966372,3687.8372496636794,3687.837249663721,4.0472514228895307e-11,1.097459336975509e-14,0.6292521906310337,0.6292521906310334,False,False,2,2
50,3687.7175206099528,3687.7175206099528,3687.717520609911,3687.717520609952,4.18367562815547e-11,1.1344891805767935e-14,0.6292388771103774,0.629238877110377,False,False,2,2
51,3687.7260711021663,3687.7260711021663,3687.726071102124,3687.7260711021654,4.229150363244116e-11,1.1468179256546927e-14,0.6292398279159593,0.629239827915959,False,False,2,2
52,3559.7643460291492,3559.7643460291492,3559.764346029105,3559.7643460291483,4.411049303598702e-11,1.2391408179923891e-14,0.6147340656197037,0.6147340656197029,False,False,1,1
53,3559.7706992421736,3559.7706992421736,3559.770699242129,3559.770699242173,4.4565240386873484e-11,1.2519132312752845e-14,0.6147347997287717,0.6147347997287709,False,False,1,1
54,3559.648908535484,3559.648908535484,3559.6489085354438,3559.648908535487,4.0472514228895307e-11,1.1369805075958057e-14,0.6147207266590349,0.6147207266590345,False,False,1,1
55,3559.6552427140446,3559.6552427140446,3559.6552427140014,3559.6552427140446,4.320099833421409e-11,1.2136287193159658e-14,0.6147214585940275,0.6147214585940269,False,False,1,1
56,3687.828187155663,3687.828187155663,3687.82818715562,3687.828187155663,4.274625098332763e-11,1.1591172043266155e-14,0.6292511829233629,0.6292511829233625,False,False,2,2
57,3687.836757071703,3687.836757071703,3687.83675707166,3687.8367570717032,4.274625098332763e-11,1.15911451073203e-14,0.6292521358572213,0.6292521358572207,False,False,2,2
58,3687.717026726913,3687.717026726913,3687.71702672687,3687.717026726912,4.320099833421409e-11,1.1714835498795787e-14,0.6292388221910374,0.6292388221910369,False,False,2,2
59,3687.7255786788164,3687.7255786788164,3687.7255786787755,3687.725578678818,4.092726157978177e-11,1.1098239472158495e-14,0.6292397731590762,0.6292397731590759,False,False,2,2
60,3559.7638467102906,3559.7638467102906,3559.7638467102474,3559.7638467102906,4.320099833421409e-11,1.213591693003392e-14,0.6147340079237193,0.6147340079237187,False,False,1,1
61,3559.7702013883318,3559.7702013883318,3559.7702013882863,3559.7702013883304,4.547473508864641e-11,1.2774626595534451e-14,0.6147347422021789,0.6147347422021779,False,False,1,1
62,3559.6484093997688,3559.6484093997688,3559.648409399725,3559.648409399767,4.3655745685100555e-11,1.2264061127447647e-14,0.614720668982216,0.6147206689822153,False,False,1,1
63,3559.6547450430626,3559.6547450430626,3559.6547450430207,3559.6547450430635,4.18367562815547e-11,1.1753037661816437e-14,0.6147214010865727,0.6147214010865722,False,False,1,1
64,3688.4386234777785,3688.4386234777785,3688.4386234777357,3688.438623477778,4.274625098332763e-11,1.1589253705141708e-14,0.6293190544098148,0.6293190544098143,False,False,2,2
65,3688.369875649284,3688.369875649284,3688.3698756492413,3688.3698756492836,4.274625098332763e-11,1.1589469718191636e-14,0.629311411289442,0.6293114112894416,False,False,2,2
66,3688.3274866552565,3688.3274866552565,3688.3274866552147,3688.3274866552565,4.18367562815547e-11,1.1343015616949507e-14,0.6293066985648291,0.6293066985648287,False,False,2,2
67,3688.258767996489,3688.258767996489,3688.2587679964463,3688.2587679964895,4.274625098332763e-11,1.1589818847376579e-14,0.6292990584328098,0.6292990584328092,False,False,2,2
68,3560.36362714968,3560.36362714968,3560.363627149637,3560.363627149681,4.274625098332763e-11,1.2006147534303678e-14,0.6148033059533937,0.614803305953393,False,False,1,1
69,3560.299437448416,3560.299437448416,3560.299437448374,3560.299437448418,4.18367562815547e-11,1.1750909443599534e-14,0.6147958901354218,0.6147958901354214,False,False,1,1
